日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,中信证券,600030,27.2,27.23,27.0,27.02,27.15,227360,616254430.0,0.19,-0.48
2026-05-13,中信证券,600030,27.15,27.46,26.96,27.15,27.22,1222137,3311273599.0,1.0,-0.26
2026-05-12,中信证券,600030,27.35,27.44,27.13,27.22,27.33,1281736,3496454846.0,1.05,-0.4
2026-05-11,中信证券,600030,26.83,27.48,26.75,27.33,26.95,1961411,5325456058.0,1.61,1.41
2026-05-08,中信证券,600030,27.1,27.2,26.83,26.95,27.23,1300625,3507949844.0,1.07,-1.03
2026-05-07,中信证券,600030,27.63,27.69,27.07,27.23,27.49,1593632,4335427172.0,1.31,-0.95
2026-05-06,中信证券,600030,27.29,27.84,27.29,27.49,27.22,1787384,4921934073.0,1.47,0.99
2026-04-30,中信证券,600030,27.23,27.78,27.07,27.22,27.32,1730018,4730728021.0,1.42,-0.37
2026-04-29,中信证券,600030,27.15,27.38,27.02,27.32,27.3,1485660,4043461098.0,1.22,0.07
2026-04-28,中信证券,600030,26.85,27.65,26.85,27.3,26.77,2607905,7136087373.0,2.14,1.98
2026-04-27,中信证券,600030,26.4,27.07,26.4,26.77,26.23,1545964,4142580850.0,1.27,2.06
2026-04-24,中信证券,600030,26.37,26.38,26.05,26.23,26.48,1042356,2725660518.0,0.86,-0.94
2026-04-23,中信证券,600030,26.58,26.77,26.35,26.48,26.71,1205818,3199251615.0,0.99,-0.86
2026-04-22,中信证券,600030,26.16,27.01,26.15,26.71,26.3,1913517,5104261296.0,1.57,1.56
2026-04-21,中信证券,600030,26.25,26.41,26.15,26.3,26.3,813881,2136782191.0,0.67,0.0
2026-04-20,中信证券,600030,26.23,26.41,26.15,26.3,26.26,966521,2539846660.0,0.79,0.15
2026-04-17,中信证券,600030,26.2,26.34,26.08,26.26,26.31,1060355,2777157579.0,0.87,-0.19
2026-04-16,中信证券,600030,26.12,26.48,26.04,26.31,26.01,1430036,3758618753.0,1.17,1.15
2026-04-15,中信证券,600030,26.33,26.39,25.97,26.01,26.19,1107538,2892097782.0,0.91,-0.69
2026-04-14,中信证券,600030,26.3,26.37,25.88,26.19,26.09,1453464,3792758895.0,1.19,0.38
2026-04-13,中信证券,600030,25.62,26.28,25.49,26.09,25.9,2151639,5591240528.0,1.77,0.73
2026-04-10,中信证券,600030,25.01,26.5,25.01,25.9,24.15,4259329,11036902941.0,3.5,7.25
2026-04-09,中信证券,600030,24.48,24.48,24.1,24.15,24.7,987408,2393489061.0,0.81,-2.23
2026-04-08,中信证券,600030,24.45,24.77,24.33,24.7,23.92,1527460,3749420200.0,1.25,3.26
2026-04-07,中信证券,600030,23.99,24.08,23.77,23.92,23.98,714436,1708575461.0,0.59,-0.25
2026-04-03,中信证券,600030,24.22,24.26,23.95,23.98,24.13,710234,1710796826.0,0.58,-0.62
2026-04-02,中信证券,600030,24.47,24.47,24.08,24.13,24.51,788736,1911165159.0,0.65,-1.55
2026-04-01,中信证券,600030,24.43,24.6,24.25,24.51,24.04,1171459,2865740077.0,0.96,1.96
