日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-07,五粮液,000858,92.43,93.85,92.43,92.6,92.26,53627788,4986385438.04,1.3816,0.3685
2026-05-06,五粮液,000858,90.78,94.5,90.1,92.26,97.08,87159923,7989429629.23,2.2455,-4.965
2026-04-30,五粮液,000858,97.74,97.95,97.0,97.08,98.34,24820895,2413614788.69,0.6395,-1.2813
2026-04-29,五粮液,000858,97.88,98.58,97.04,98.34,100.2,33863533,3316572049.36,0.8724,-1.8563
2026-04-28,五粮液,000858,100.08,100.29,99.9,100.2,100.2,12341464,1234366126.32,0.318,0.0
2026-04-27,五粮液,000858,100.5,100.53,100.05,100.2,101.27,19104782,1913778919.46,0.4922,-1.0566
2026-04-24,五粮液,000858,100.65,101.92,100.3,101.27,101.18,13453338,1361341944.74,0.3466,0.089
2026-04-23,五粮液,000858,100.64,102.3,100.56,101.18,100.64,17402318,1764308584.54,0.4483,0.5366
2026-04-22,五粮液,000858,101.0,101.08,100.46,100.64,101.18,14438261,1452833704.75,0.372,-0.5337
2026-04-21,五粮液,000858,101.3,101.82,101.0,101.18,101.35,10828096,1095969167.47,0.279,-0.1677
2026-04-20,五粮液,000858,101.82,101.95,101.05,101.35,101.86,11696080,1186004538.23,0.3013,-0.5007
2026-04-17,五粮液,000858,101.5,102.25,101.2,101.86,103.44,16743174,1704502562.25,0.4314,-1.5275
2026-04-16,五粮液,000858,103.5,104.0,103.22,103.44,103.55,9016632,934168917.94,0.2323,-0.1062
2026-04-15,五粮液,000858,102.9,103.99,102.68,103.55,103.1,11571256,1196292314.27,0.2981,0.4365
2026-04-14,五粮液,000858,102.42,103.4,101.88,103.1,102.42,12069637,1238173621.19,0.311,0.6639
2026-04-13,五粮液,000858,101.64,102.45,101.08,102.42,102.07,12263434,1247104400.52,0.316,0.3429
2026-04-10,五粮液,000858,102.61,102.95,102.0,102.07,102.6,12242404,1253630005.44,0.3154,-0.5166
2026-04-09,五粮液,000858,103.38,103.69,102.5,102.6,104.19,9846158,1012935759.78,0.2537,-1.5261
2026-04-08,五粮液,000858,103.9,104.2,103.51,104.19,103.11,9774007,1016515697.76,0.2518,1.0474
2026-04-07,五粮液,000858,103.4,103.9,102.35,103.11,103.49,8154794,839975542.86,0.2101,-0.3672
2026-04-03,五粮液,000858,104.97,104.97,103.29,103.49,105.0,8308861,864181133.42,0.2141,-1.4381
2026-04-02,五粮液,000858,104.0,105.26,103.88,105.0,104.39,15178337,1589237202.13,0.391,0.5843
2026-04-01,五粮液,000858,103.97,105.18,103.39,104.39,103.27,12266665,1279526789.08,0.316,1.0845
2026-03-31,五粮液,000858,105.0,105.8,103.27,103.27,103.46,17834771,1865043694.12,0.4595,-0.1836
2026-03-30,五粮液,000858,101.99,103.9,101.8,103.46,102.65,12490697,1286843153.03,0.3218,0.7891
