日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,宁德时代,300750,449.38,450.45,427.0,427.0,434.05,347046,15157645640.1,0.82,-1.62
2026-05-13,宁德时代,300750,431.01,436.58,427.08,434.05,431.25,316858,13668347813.0,0.74,0.65
2026-05-12,宁德时代,300750,446.59,446.85,429.29,431.25,446.11,341515,14869224127.0,0.8,-3.33
2026-05-11,宁德时代,300750,440.0,450.51,435.1,446.11,437.0,341901,15198345088.0,0.8,2.08
2026-05-08,宁德时代,300750,449.0,455.5,436.2,437.0,451.64,366049,16224287222.0,0.86,-3.24
2026-05-07,宁德时代,300750,468.75,468.75,447.0,451.64,460.0,386213,17551196925.0,0.91,-1.82
2026-05-06,宁德时代,300750,457.5,465.88,448.63,460.0,436.0,473727,21679900613.0,1.11,5.5
2026-04-30,宁德时代,300750,446.5,449.5,436.0,436.0,445.0,298121,13127297981.0,0.7,-2.02
2026-04-29,宁德时代,300750,432.0,445.15,428.0,445.0,427.67,376336,16473164317.0,0.88,4.05
2026-04-28,宁德时代,300750,426.19,433.3,423.0,427.67,434.88,350121,14992134063.0,0.82,-1.66
2026-04-27,宁德时代,300750,444.63,448.76,433.8,434.88,444.9,330613,14514326132.0,0.78,-2.25
2026-04-24,宁德时代,300750,442.0,448.45,438.0,444.9,438.9,395425,17517374359.0,0.93,1.37
2026-04-23,宁德时代,300750,443.5,443.6,435.0,438.9,436.35,354310,15566836621.0,0.83,0.58
2026-04-22,宁德时代,300750,441.01,447.97,433.13,436.35,440.69,460254,20173924647.0,1.08,-0.98
2026-04-21,宁德时代,300750,428.09,443.22,418.19,440.69,425.59,577746,25412275748.0,1.36,3.55
2026-04-20,宁德时代,300750,426.09,430.99,419.1,425.59,437.29,529278,22768028849.0,1.24,-2.68
2026-04-17,宁德时代,300750,449.05,450.73,434.1,437.29,447.07,365358,16290232435.0,0.86,-2.19
2026-04-16,宁德时代,300750,434.09,453.09,426.11,447.07,424.09,635062,28517416468.0,1.49,5.42
2026-04-15,宁德时代,300750,431.97,432.55,420.16,424.09,423.88,373536,16122379460.0,0.88,0.05
2026-04-14,宁德时代,300750,414.59,425.58,407.49,423.88,420.22,442208,18663656302.0,1.04,0.87
2026-04-13,宁德时代,300750,411.09,426.42,409.09,420.22,409.09,412399,17625505878.0,0.97,2.72
2026-04-10,宁德时代,300750,387.09,412.09,385.77,409.09,383.08,507887,20752496341.0,1.19,6.79
2026-04-09,宁德时代,300750,387.19,387.37,379.75,383.08,384.39,259552,10132744607.0,0.61,-0.34
2026-04-08,宁德时代,300750,389.59,390.74,381.31,384.39,377.68,364184,14315333338.0,0.86,1.78
2026-04-07,宁德时代,300750,383.07,386.29,374.58,377.68,379.55,172576,6675632984.0,0.41,-0.49
2026-04-03,宁德时代,300750,393.09,393.89,378.22,379.55,394.26,247515,9640031385.0,0.58,-3.73
2026-04-02,宁德时代,300750,400.99,405.08,390.29,394.26,398.8,223056,8988161794.0,0.52,-1.14
2026-04-01,宁德时代,300750,402.82,402.96,389.09,398.8,394.79,231701,9384266504.0,0.54,1.02
2026-03-31,宁德时代,300750,406.09,410.04,394.67,394.79,406.09,249256,10159878345.0,0.59,-2.78
2026-03-30,宁德时代,300750,406.09,411.94,398.69,406.09,409.27,253484,10440376424.0,0.6,-0.78
2026-03-27,宁德时代,300750,399.21,411.42,394.82,409.27,395.59,302580,12465856864.0,0.71,3.46
2026-03-26,宁德时代,300750,386.93,406.81,385.09,395.59,390.9,267637,10811439764.0,0.63,1.2
2026-03-25,宁德时代,300750,386.09,393.59,380.89,390.9,390.08,267528,10553996246.0,0.63,0.21
2026-03-24,宁德时代,300750,398.09,404.99,381.09,390.08,395.08,364105,14439124609.0,0.86,-1.27
2026-03-23,宁德时代,300750,410.42,410.45,391.84,395.08,406.09,446141,18193336487.0,1.05,-2.71
2026-03-20,宁德时代,300750,398.17,415.17,393.22,406.09,393.59,537297,22252017693.0,1.26,3.18
2026-03-19,宁德时代,300750,395.03,407.09,393.09,393.59,395.11,292866,11867380765.0,0.69,-0.38
2026-03-18,宁德时代,300750,398.45,399.09,389.86,395.11,398.09,265300,10653633584.0,0.62,-0.75
2026-03-17,宁德时代,300750,408.87,413.09,397.65,398.09,401.49,359807,14787230789.0,0.85,-0.85
2026-03-16,宁德时代,300750,394.86,406.26,391.09,401.49,390.09,373521,15195015004.0,0.88,2.92
2026-03-13,宁德时代,300750,386.97,397.08,386.89,390.09,388.59,355826,14201304444.0,0.84,0.39
2026-03-12,宁德时代,300750,393.09,393.99,385.79,388.59,389.89,291504,11537671606.0,0.68,-0.33
2026-03-11,宁德时代,300750,372.67,396.64,372.07,389.89,369.39,575987,22642696276.0,1.35,5.55
2026-03-10,宁德时代,300750,368.09,372.86,359.59,369.39,350.59,507417,19049080512.0,1.19,5.36
2026-03-09,宁德时代,300750,341.93,352.94,338.15,350.59,347.86,317976,11217996825.0,0.75,0.78
2026-03-06,宁德时代,300750,342.09,350.11,337.75,347.86,343.34,209631,7388868682.0,0.49,1.32
2026-03-05,宁德时代,300750,337.67,346.94,335.75,343.34,331.99,310061,10819502021.0,0.73,3.42
2026-03-04,宁德时代,300750,334.19,335.11,327.29,331.99,337.16,250804,8468604901.0,0.59,-1.53
2026-03-03,宁德时代,300750,339.42,347.44,337.12,337.16,333.31,400075,13919957237.0,0.94,1.16
2026-03-02,宁德时代,300750,334.09,337.99,329.77,333.31,335.1,283513,9643254983.0,0.67,-0.53
2026-02-27,宁德时代,300750,340.21,342.03,335.1,335.1,339.09,254466,8775054149.0,0.6,-1.18
2026-02-26,宁德时代,300750,349.14,351.29,336.59,339.09,355.27,435414,15108143010.0,1.02,-4.55
2026-02-25,宁德时代,300750,356.78,359.69,353.19,355.27,355.04,187166,6802110618.0,0.44,0.06
2026-02-24,宁德时代,300750,365.73,366.59,355.04,355.04,358.43,226951,8316534692.0,0.53,-0.95
2026-02-13,宁德时代,300750,368.7,370.09,358.1,358.43,368.96,223145,8229700941.0,0.52,-2.85
2026-02-12,宁德时代,300750,363.09,370.97,361.12,368.96,361.09,277546,10410892196.0,0.65,2.18
2026-02-11,宁德时代,300750,359.99,364.08,357.59,361.09,358.06,196535,7239804070.0,0.46,0.85
2026-02-10,宁德时代,300750,358.26,363.89,357.09,358.06,361.91,185635,6798020174.0,0.44,-1.06
2026-02-09,宁德时代,300750,363.59,365.59,355.69,361.91,362.2,274486,10080946318.0,0.64,-0.08
2026-02-06,宁德时代,300750,352.41,365.97,351.1,362.2,356.03,393726,14514523059.0,0.92,1.73
2026-02-05,宁德时代,300750,358.86,359.84,349.11,356.03,358.12,284272,10268243283.0,0.67,-0.58
2026-02-04,宁德时代,300750,344.05,359.74,340.6,358.12,341.0,485317,17369398061.0,1.14,5.02
2026-02-03,宁德时代,300750,342.09,345.89,336.59,341.0,342.07,265163,9220045792.0,0.62,-0.31
2026-02-02,宁德时代,300750,350.09,351.08,337.22,342.07,343.09,391917,13766144457.0,0.92,-0.3
2026-01-30,宁德时代,300750,341.49,346.85,337.19,343.09,334.98,486501,17048600000.0,1.14,2.42
2026-01-29,宁德时代,300750,333.59,338.25,331.25,334.98,333.08,338444,11569006794.0,0.8,0.57
2026-01-28,宁德时代,300750,330.97,337.09,326.1,333.08,332.49,463082,15638344008.0,1.09,0.18
2026-01-27,宁德时代,300750,337.98,337.99,327.11,332.49,335.14,322949,10953698562.0,0.76,-0.79
2026-01-26,宁德时代,300750,345.11,345.64,334.3,335.14,340.09,332914,11468681279.0,0.78,-1.46
2026-01-23,宁德时代,300750,341.1,343.09,336.34,340.09,338.89,339761,11775914385.0,0.8,0.35
2026-01-22,宁德时代,300750,344.12,346.82,332.59,338.89,342.9,459948,15851213229.0,1.08,-1.17
2026-01-21,宁德时代,300750,345.03,350.78,342.09,342.9,342.69,393936,13919426404.0,0.93,0.06
2026-01-20,宁德时代,300750,343.09,350.0,340.99,342.69,341.99,354406,12466608900.0,0.83,0.2
2026-01-19,宁德时代,300750,344.56,348.43,338.42,341.99,345.41,338643,11842421263.0,0.8,-0.99
2026-01-16,宁德时代,300750,351.08,354.81,344.6,345.41,346.84,319818,11350569563.0,0.75,-0.41
2026-01-15,宁德时代,300750,345.84,351.37,344.89,346.84,347.07,323709,11474019059.0,0.76,-0.07
2026-01-14,宁德时代,300750,353.12,354.31,344.8,347.07,352.09,380834,13553362724.0,0.89,-1.43
2026-01-13,宁德时代,300750,359.34,360.86,350.09,352.09,354.77,296709,10745692370.0,0.7,-0.76
2026-01-12,宁德时代,300750,361.09,361.09,344.75,354.77,362.32,488307,17505537198.0,1.15,-2.08
2026-01-09,宁德时代,300750,362.26,370.72,360.1,362.32,362.3,314772,11681035309.0,0.74,0.01
2026-01-08,宁德时代,300750,361.09,366.42,360.09,362.3,364.1,269590,9962397479.0,0.63,-0.49
2026-01-07,宁德时代,300750,366.04,368.57,361.58,364.1,367.08,262285,9730943679.0,0.62,-0.81
2026-01-06,宁德时代,300750,373.09,373.59,362.13,367.08,370.59,341477,12764795666.0,0.8,-0.95
2026-01-05,宁德时代,300750,363.09,371.09,361.28,370.59,360.35,336881,12583419573.0,0.79,2.84
2025-12-31,宁德时代,300750,362.88,365.09,360.24,360.35,362.29,160266,5920431545.0,0.38,-0.54
2025-12-30,宁德时代,300750,360.19,364.09,359.65,362.29,362.4,190308,7014015793.0,0.45,-0.03
2025-12-29,宁德时代,300750,367.09,367.52,361.09,362.4,367.52,241241,8924502782.0,0.57,-1.39
2025-12-26,宁德时代,300750,366.05,371.09,363.19,367.52,366.1,257237,9616116052.0,0.6,0.39
2025-12-25,宁德时代,300750,367.3,367.3,362.21,366.1,368.69,203431,7559336244.0,0.48,-0.7
2025-12-24,宁德时代,300750,371.17,371.17,365.09,368.69,371.19,210884,7902857946.0,0.5,-0.67
2025-12-23,宁德时代,300750,365.09,373.59,364.69,371.19,364.93,236041,8879315764.0,0.55,1.72
2025-12-22,宁德时代,300750,369.09,371.08,361.19,364.93,367.09,254935,9489773616.0,0.6,-0.59
2025-12-19,宁德时代,300750,367.17,370.77,363.89,367.09,365.09,175599,6572807889.0,0.41,0.55
2025-12-18,宁德时代,300750,372.66,374.04,363.1,365.09,376.51,296393,11079385459.0,0.7,-3.03
2025-12-17,宁德时代,300750,369.54,377.59,368.15,376.51,371.5,222574,8453303233.0,0.52,1.35
2025-12-16,宁德时代,300750,379.09,382.17,371.12,371.5,378.59,191217,7292054834.0,0.45,-1.87
2025-12-15,宁德时代,300750,384.59,388.06,378.3,378.59,384.89,182750,7099251459.0,0.43,-1.64
2025-12-12,宁德时代,300750,385.09,386.48,378.59,384.89,382.08,240020,9355490916.0,0.56,0.74
2025-12-11,宁德时代,300750,377.99,391.95,376.47,382.08,375.47,282154,11089031994.0,0.66,1.76
2025-12-10,宁德时代,300750,378.14,381.09,370.35,375.47,380.68,194334,7399361240.0,0.46,-1.37
2025-12-09,宁德时代,300750,384.59,385.35,379.09,380.68,385.59,186918,7255076087.0,0.44,-1.27
2025-12-08,宁德时代,300750,383.52,388.47,378.59,385.59,382.18,216598,8476698700.0,0.51,0.89
2025-12-05,宁德时代,300750,380.29,382.4,375.09,382.18,376.44,232916,9004580815.0,0.55,1.52
2025-12-04,宁德时代,300750,372.28,376.69,368.24,376.44,369.17,191658,7299943081.0,0.45,1.97
2025-12-03,宁德时代,300750,373.18,376.46,368.09,369.17,373.17,139911,5294871742.0,0.33,-1.07
2025-12-02,宁德时代,300750,376.59,378.07,370.49,373.17,376.06,163485,6220569501.0,0.38,-0.77
2025-12-01,宁德时代,300750,367.85,376.06,367.12,376.06,366.29,267510,10120862870.0,0.63,2.67
2025-11-28,宁德时代,300750,363.59,368.57,359.25,366.29,364.29,203403,7542337298.0,0.48,0.55
2025-11-27,宁德时代,300750,366.09,371.97,363.09,364.29,365.91,222003,8289124681.0,0.52,-0.44
2025-11-26,宁德时代,300750,368.59,368.59,363.16,365.91,365.45,189107,7048903988.0,0.44,0.13
2025-11-25,宁德时代,300750,368.09,372.75,363.68,365.45,363.64,206332,7733117131.0,0.48,0.5
2025-11-24,宁德时代,300750,366.89,367.99,360.27,363.64,363.09,228458,8464724008.0,0.54,0.15
2025-11-21,宁德时代,300750,368.09,376.09,363.09,363.09,372.48,316313,11850710342.0,0.74,-2.52
2025-11-20,宁德时代,300750,387.99,388.09,370.1,372.48,384.19,336743,12895238922.0,0.79,-3.05
2025-11-19,宁德时代,300750,378.59,391.53,378.05,384.19,378.09,292667,11462348543.0,0.69,1.61
2025-11-18,宁德时代,300750,382.09,391.72,374.09,378.09,383.87,395658,15353867656.0,0.93,-1.51
2025-11-17,宁德时代,300750,381.09,385.49,375.59,383.87,397.21,476855,18542294255.0,1.12,-3.36
2025-11-14,宁德时代,300750,400.09,407.69,396.97,397.21,408.69,241721,9879119548.0,0.57,-2.81
2025-11-13,宁德时代,300750,378.14,414.39,378.14,408.69,379.47,562654,22945441956.0,1.32,7.7
2025-11-12,宁德时代,300750,383.87,386.08,377.07,379.47,378.69,212998,8261238196.0,0.5,0.21
2025-11-11,宁德时代,300750,379.09,387.86,377.59,378.69,377.6,193032,7500041113.0,0.45,0.29
