日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,平安银行,000001,11.14,11.15,11.09,11.15,11.14,176453,196212765.22,0.09,0.09
2026-05-13,平安银行,000001,11.25,11.28,11.11,11.14,11.25,1017974,1136724107.4,0.52,-0.98
2026-05-12,平安银行,000001,11.28,11.36,11.21,11.25,11.28,1029038,1158241865.91,0.53,-0.27
2026-05-11,平安银行,000001,11.29,11.31,11.16,11.28,11.3,931865,1047435369.38,0.48,-0.18
2026-05-08,平安银行,000001,11.34,11.42,11.3,11.3,11.37,798820,905737835.21,0.41,-0.62
2026-05-07,平安银行,000001,11.37,11.39,11.3,11.37,11.36,936958,1062755238.5,0.48,0.09
2026-05-06,平安银行,000001,11.5,11.5,11.3,11.36,11.49,1216388,1380730921.13,0.63,-1.13
2026-04-30,平安银行,000001,11.5,11.6,11.46,11.49,11.52,1139242,1312827775.76,0.59,-0.26
2026-04-29,平安银行,000001,11.43,11.54,11.39,11.52,11.46,1378423,1583294868.98,0.71,0.52
2026-04-28,平安银行,000001,11.36,11.46,11.32,11.46,11.38,1674259,1908333958.72,0.86,0.7
2026-04-27,平安银行,000001,11.33,11.57,11.29,11.38,11.0,3401276,3891707615.21,1.75,3.45
2026-04-24,平安银行,000001,10.98,11.03,10.92,11.0,11.0,582710,639781173.32,0.3,0.0
2026-04-23,平安银行,000001,10.98,11.03,10.93,11.0,10.98,648067,711757543.31,0.33,0.18
2026-04-22,平安银行,000001,11.08,11.09,10.95,10.98,11.08,839054,923203009.35,0.43,-0.9
2026-04-21,平安银行,000001,11.04,11.16,11.03,11.08,11.06,806946,896659539.18,0.42,0.18
2026-04-20,平安银行,000001,11.01,11.07,10.96,11.06,11.01,630034,695097193.51,0.32,0.45
2026-04-17,平安银行,000001,11.09,11.11,10.99,11.01,11.09,722530,797678405.53,0.37,-0.72
2026-04-16,平安银行,000001,11.2,11.23,11.07,11.09,11.21,680915,758006903.42,0.35,-1.07
2026-04-15,平安银行,000001,11.16,11.22,11.15,11.21,11.17,503938,564031568.33,0.26,0.36
2026-04-14,平安银行,000001,11.07,11.17,11.07,11.17,11.07,496151,551741632.58,0.26,0.9
2026-04-13,平安银行,000001,11.05,11.09,11.03,11.07,11.09,406104,449056813.73,0.21,-0.18
2026-04-10,平安银行,000001,11.1,11.13,11.07,11.09,11.1,481047,534088990.51,0.25,-0.09
2026-04-09,平安银行,000001,11.17,11.22,11.06,11.1,11.22,602365,669239285.37,0.31,-1.07
2026-04-08,平安银行,000001,11.11,11.22,11.05,11.22,11.03,812976,906308305.45,0.42,1.72
2026-04-07,平安银行,000001,11.12,11.14,10.97,11.03,11.12,607955,671322754.77,0.31,-0.81
2026-04-03,平安银行,000001,11.28,11.28,11.09,11.12,11.27,757757,845283641.29,0.39,-1.33
2026-04-02,平安银行,000001,11.15,11.32,11.13,11.27,11.15,1148895,1292756711.67,0.59,1.08
2026-04-01,平安银行,000001,11.09,11.23,11.08,11.15,11.08,918925,1025538832.67,0.47,0.63
2026-03-31,平安银行,000001,11.0,11.18,10.99,11.08,10.99,1164565,1294675716.15,0.6,0.82
2026-03-30,平安银行,000001,10.98,11.05,10.94,10.99,11.02,632522,696208267.35,0.33,-0.27
2026-03-27,平安银行,000001,10.91,11.05,10.83,11.02,10.94,884129,972821270.14,0.46,0.73
2026-03-26,平安银行,000001,10.91,11.05,10.9,10.94,10.94,827664,909199430.74,0.43,0.0
2026-03-25,平安银行,000001,10.89,10.95,10.79,10.94,10.88,744780,809739890.44,0.38,0.55
2026-03-24,平安银行,000001,10.52,10.89,10.52,10.88,10.45,1622251,1744746707.7,0.84,4.11
2026-03-23,平安银行,000001,10.68,10.68,10.43,10.45,10.77,1580088,1666328347.8,0.81,-2.97
