日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,招商银行,600036,37.81,38.02,37.73,37.81,37.88,867868,3286217937.0,0.42,-0.18
2026-05-13,招商银行,600036,37.96,38.09,37.85,37.88,37.9,718304,2723485937.0,0.35,-0.05
2026-05-12,招商银行,600036,37.98,38.14,37.86,37.9,37.97,967299,3673345231.0,0.47,-0.18
2026-05-11,招商银行,600036,37.95,37.98,37.7,37.97,37.94,925489,3502977208.0,0.45,0.08
2026-05-08,招商银行,600036,38.03,38.18,37.9,37.94,37.95,869539,3303687174.0,0.42,-0.03
2026-05-07,招商银行,600036,38.05,38.16,37.94,37.95,38.0,790090,3001814235.0,0.38,-0.13
2026-05-06,招商银行,600036,38.29,38.35,37.82,38.0,38.27,1431771,5437169068.0,0.69,-0.71
2026-04-30,招商银行,600036,38.4,38.51,38.12,38.27,38.5,1169574,4477499783.0,0.57,-0.6
2026-04-29,招商银行,600036,38.91,39.02,38.34,38.5,39.6,2533117,9780526575.0,1.23,-2.78
2026-04-28,招商银行,600036,39.38,39.63,39.26,39.6,39.38,669305,2637104794.0,0.32,0.56
2026-04-27,招商银行,600036,39.52,39.99,39.32,39.38,39.38,926168,3669782211.0,0.45,0.0
2026-04-24,招商银行,600036,39.74,39.8,39.36,39.38,39.81,629414,2485978699.0,0.31,-1.08
2026-04-23,招商银行,600036,39.72,39.86,39.52,39.81,39.74,569489,2260647913.0,0.28,0.18
2026-04-22,招商银行,600036,39.87,40.03,39.62,39.74,39.87,507595,2017733909.0,0.25,-0.33
2026-04-21,招商银行,600036,39.91,40.15,39.86,39.87,39.87,545949,2182431154.0,0.26,0.0
2026-04-20,招商银行,600036,39.5,39.9,39.33,39.87,39.52,588776,2337084804.0,0.29,0.89
2026-04-17,招商银行,600036,39.85,39.9,39.5,39.52,39.91,587925,2331744880.0,0.29,-0.98
2026-04-16,招商银行,600036,39.9,40.15,39.75,39.91,39.9,617258,2467044522.0,0.3,0.03
2026-04-15,招商银行,600036,39.25,39.92,39.22,39.9,39.13,1052104,4177253342.0,0.51,1.97
2026-04-14,招商银行,600036,39.0,39.18,38.95,39.13,38.98,503999,1967829540.0,0.24,0.38
2026-04-13,招商银行,600036,39.13,39.16,38.92,38.98,39.21,525145,2047706850.0,0.25,-0.59
2026-04-10,招商银行,600036,39.32,39.38,39.13,39.21,39.26,543202,2130641529.0,0.26,-0.13
2026-04-09,招商银行,600036,39.48,39.52,39.12,39.26,39.62,535854,2104306041.0,0.26,-0.91
2026-04-08,招商银行,600036,39.5,39.64,39.19,39.62,38.99,669498,2643490434.0,0.32,1.62
