日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,比亚迪,002594,99.0,100.0,98.45,99.0,98.6,132844,1318828684.92,0.38,0.41
2026-05-13,比亚迪,002594,99.23,99.25,97.81,98.6,99.23,456194,4481395883.54,1.31,-0.63
2026-05-12,比亚迪,002594,99.97,100.1,99.1,99.23,100.44,353441,3514548835.63,1.01,-1.2
2026-05-11,比亚迪,002594,100.02,100.73,99.0,100.44,100.02,482810,4812920714.72,1.38,0.42
2026-05-08,比亚迪,002594,100.47,101.0,99.8,100.02,100.46,382158,3823821997.57,1.1,-0.44
2026-05-07,比亚迪,002594,101.05,101.26,100.01,100.46,100.75,468846,4708289850.76,1.34,-0.29
2026-05-06,比亚迪,002594,101.7,101.89,100.2,100.75,102.98,670487,6746578445.37,1.92,-2.17
2026-04-30,比亚迪,002594,104.54,105.45,102.37,102.98,105.4,600979,6206126903.48,1.72,-2.3
2026-04-29,比亚迪,002594,101.47,105.64,101.0,105.4,101.48,1056558,11021927729.24,3.03,3.86
2026-04-28,比亚迪,002594,101.85,103.3,101.34,101.48,102.34,361550,3687912785.41,1.04,-0.84
2026-04-27,比亚迪,002594,100.0,104.0,99.88,102.34,99.46,601670,6169037081.86,1.73,2.9
2026-04-24,比亚迪,002594,99.91,99.91,98.7,99.46,99.98,337739,3348015918.73,0.97,-0.52
2026-04-23,比亚迪,002594,101.57,101.59,99.01,99.98,101.62,492164,4915554212.21,1.41,-1.61
2026-04-22,比亚迪,002594,101.11,102.38,100.6,101.62,101.53,343733,3485648244.02,0.99,0.09
2026-04-21,比亚迪,002594,102.91,103.19,101.33,101.53,102.91,432258,4398233494.97,1.24,-1.34
2026-04-20,比亚迪,002594,103.78,103.95,102.62,102.91,103.78,383677,3957213043.27,1.1,-0.84
2026-04-17,比亚迪,002594,104.99,105.46,103.12,103.78,105.54,442048,4595671718.33,1.27,-1.67
2026-04-16,比亚迪,002594,103.28,105.97,103.28,105.54,103.03,643661,6763624066.88,1.85,2.44
2026-04-15,比亚迪,002594,103.82,104.77,102.5,103.03,103.82,428719,4431952619.71,1.23,-0.76
2026-04-14,比亚迪,002594,103.0,104.19,102.5,103.82,104.25,543343,5614541232.06,1.56,-0.41
2026-04-13,比亚迪,002594,101.57,104.99,100.81,104.25,101.67,663136,6887089022.36,1.9,2.54
2026-04-10,比亚迪,002594,99.39,102.2,99.03,101.67,99.03,605731,6130392651.86,1.74,2.67
2026-04-09,比亚迪,002594,100.21,100.21,98.81,99.03,101.22,379063,3764528220.2,1.09,-2.16
2026-04-08,比亚迪,002594,98.5,101.28,98.11,101.22,97.98,562818,5621410290.06,1.61,3.31
2026-04-07,比亚迪,002594,99.5,99.77,97.45,97.98,99.01,379697,3731963029.9,1.09,-1.04
2026-04-03,比亚迪,002594,101.8,102.3,99.0,99.01,101.65,491745,4921224065.51,1.41,-2.6
2026-04-02,比亚迪,002594,102.49,103.48,100.5,101.65,102.65,604349,6153958207.6,1.73,-0.97
2026-04-01,比亚迪,002594,105.9,106.5,102.37,102.65,105.25,715198,7383168511.54,2.05,-2.47
2026-03-31,比亚迪,002594,107.0,108.49,105.1,105.25,106.05,588659,6283345063.15,1.69,-0.75
2026-03-30,比亚迪,002594,103.51,108.0,103.25,106.05,105.3,727557,7713482118.31,2.09,0.71
2026-03-27,比亚迪,002594,103.99,105.89,102.75,105.3,103.14,658455,6893710025.99,1.89,2.09
2026-03-26,比亚迪,002594,106.62,107.68,102.7,103.14,106.6,828121,8655663075.43,2.38,-3.25
2026-03-25,比亚迪,002594,106.72,107.66,105.28,106.6,106.64,662665,7061311677.57,1.9,-0.04
2026-03-24,比亚迪,002594,108.4,108.4,104.93,106.64,107.63,921446,9784806490.81,2.64,-0.92
2026-03-23,比亚迪,002594,103.87,111.82,103.18,107.63,103.03,1782446,19284919428.95,5.11,4.46
2026-03-20,比亚迪,002594,102.0,104.45,101.56,103.03,102.31,628783,6495105103.63,1.8,0.7
2026-03-19,比亚迪,002594,100.99,103.88,100.47,102.31,101.69,531059,5450382395.36,1.52,0.61
2026-03-18,比亚迪,002594,102.82,102.82,100.05,101.69,102.87,617996,6257459329.85,1.77,-1.15
2026-03-17,比亚迪,002594,104.63,106.66,102.71,102.87,104.62,841389,8793237612.73,2.41,-1.67
2026-03-16,比亚迪,002594,99.67,105.0,98.79,104.62,99.67,1087814,11184164654.67,3.12,4.97
2026-03-13,比亚迪,002594,99.0,100.79,98.3,99.67,99.1,519765,5199004697.47,1.49,0.58
2026-03-12,比亚迪,002594,99.23,100.69,98.7,99.1,99.22,502524,4995016177.19,1.44,-0.12
2026-03-11,比亚迪,002594,96.75,100.34,95.67,99.22,96.6,903744,8925093667.94,2.59,2.71
2026-03-10,比亚迪,002594,97.18,97.49,96.08,96.6,97.52,507462,4907397250.96,1.46,-0.94
2026-03-09,比亚迪,002594,93.62,98.0,93.0,97.52,93.62,1093409,10562485734.53,3.14,4.17
2026-03-06,比亚迪,002594,96.0,96.0,93.25,93.62,94.47,503540,4743654924.93,1.44,-0.9
2026-03-05,比亚迪,002594,96.8,96.82,93.89,94.47,95.99,552440,5235746090.45,1.58,-1.58
2026-03-04,比亚迪,002594,95.2,96.8,93.7,95.99,95.21,700969,6674964517.79,2.01,0.82
2026-03-03,比亚迪,002594,96.39,96.99,93.99,95.21,96.79,865741,8272503575.74,2.48,-1.63
2026-03-02,比亚迪,002594,88.0,97.25,87.72,96.79,89.32,1435137,13507227574.29,4.12,8.36
2026-02-27,比亚迪,002594,89.4,89.94,89.1,89.32,89.85,219341,1962319079.4,0.63,-0.59
2026-02-26,比亚迪,002594,91.4,91.4,89.61,89.85,91.45,291019,2619922211.49,0.83,-1.75
2026-02-25,比亚迪,002594,90.89,92.79,90.89,91.45,90.87,324780,2985714580.09,0.93,0.64
2026-02-24,比亚迪,002594,91.98,91.99,90.61,90.87,90.27,206445,1879888761.45,0.59,0.66
2026-02-13,比亚迪,002594,90.05,91.09,89.88,90.27,91.16,217339,1963579416.68,0.62,-0.98
2026-02-12,比亚迪,002594,92.29,92.35,91.08,91.16,92.28,230313,2106032227.12,0.66,-1.21
2026-02-11,比亚迪,002594,90.88,92.95,90.88,92.28,90.81,396950,3662117778.54,1.14,1.62
2026-02-10,比亚迪,002594,90.0,91.57,89.84,90.81,90.06,267605,2434219974.85,0.77,0.83
2026-02-09,比亚迪,002594,90.5,90.65,89.83,90.06,89.82,208180,1875980039.28,0.6,0.27
2026-02-06,比亚迪,002594,89.39,90.66,89.0,89.82,90.11,247088,2217096985.32,0.71,-0.32
2026-02-05,比亚迪,002594,88.5,91.23,88.33,90.11,89.14,354240,3184480192.98,1.02,1.09
2026-02-04,比亚迪,002594,86.99,89.33,86.45,89.14,87.37,376505,3322530225.39,1.08,2.03
