日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,海康威视,002415,34.59,34.85,34.05,34.07,34.49,174041,600363518.6,0.19,-1.22
2026-05-13,海康威视,002415,34.5,34.69,33.79,34.49,34.56,721892,2469167517.89,0.8,-0.2
2026-05-12,海康威视,002415,35.36,35.51,34.55,34.56,35.36,790012,2755822924.45,0.87,-2.26
2026-05-11,海康威视,002415,35.8,36.86,35.17,35.36,35.55,946135,3393069491.8,1.05,-0.53
2026-05-08,海康威视,002415,35.88,35.88,35.2,35.55,35.96,576552,2043398379.1,0.64,-1.14
2026-05-07,海康威视,002415,35.92,36.45,35.56,35.96,36.04,630231,2268752402.45,0.7,-0.22
2026-05-06,海康威视,002415,36.68,37.09,35.79,36.04,36.29,930106,3381203623.04,1.03,-0.69
2026-04-30,海康威视,002415,34.75,36.84,34.57,36.29,34.81,1175309,4226180593.81,1.3,4.25
2026-04-29,海康威视,002415,34.5,35.3,34.29,34.81,34.65,585983,2036328451.37,0.65,0.46
2026-04-28,海康威视,002415,34.01,35.18,33.68,34.65,33.97,766107,2641005784.93,0.85,2.0
2026-04-27,海康威视,002415,33.55,34.39,33.51,33.97,33.6,500328,1701721545.0,0.55,1.1
2026-04-24,海康威视,002415,33.68,34.0,33.3,33.6,33.49,405259,1363939697.66,0.45,0.33
2026-04-23,海康威视,002415,33.5,34.13,33.35,33.49,33.63,496834,1674350427.23,0.55,-0.42
2026-04-22,海康威视,002415,33.56,33.95,33.41,33.63,33.73,485982,1633804245.52,0.54,-0.3
2026-04-21,海康威视,002415,34.5,34.65,33.69,33.73,34.51,729407,2473931322.63,0.81,-2.26
2026-04-20,海康威视,002415,34.81,35.29,34.4,34.51,33.13,1334411,4638404768.94,1.48,4.17
2026-04-17,海康威视,002415,33.49,33.75,32.75,33.13,33.54,798901,2654570773.16,0.88,-1.22
2026-04-16,海康威视,002415,33.29,33.59,33.05,33.54,33.2,479349,1600607706.41,0.53,1.02
2026-04-15,海康威视,002415,33.45,33.5,32.91,33.2,33.48,575623,1911958868.23,0.64,-0.84
2026-04-14,海康威视,002415,32.74,33.88,32.74,33.48,32.65,1243152,4133900017.47,1.37,2.54
2026-04-13,海康威视,002415,31.51,32.66,31.41,32.65,31.71,642490,2068425798.47,0.71,2.96
2026-04-10,海康威视,002415,30.88,32.1,30.83,31.71,30.76,622901,1966517737.01,0.69,3.09
2026-04-09,海康威视,002415,30.58,30.86,30.45,30.76,30.88,238773,731842429.18,0.26,-0.39
2026-04-08,海康威视,002415,30.55,30.98,30.44,30.88,30.2,345766,1062317913.57,0.38,2.25
2026-04-07,海康威视,002415,30.27,30.5,29.92,30.2,30.27,281594,849410644.67,0.31,-0.23
