日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,立讯精密,002475,79.29,79.35,76.0,76.1,80.15,819298,6336592541.49,1.13,-5.05
2026-05-13,立讯精密,002475,75.75,81.78,75.11,80.15,77.19,2263665,18021923741.57,3.11,3.83
2026-05-12,立讯精密,002475,77.39,78.78,75.5,77.19,76.06,1980246,15270074422.91,2.72,1.49
2026-05-11,立讯精密,002475,75.5,78.42,74.46,76.06,71.29,2700154,20583695883.98,3.71,6.69
2026-05-08,立讯精密,002475,68.13,72.08,67.11,71.29,69.52,2150710,15166942308.33,2.96,2.55
2026-05-07,立讯精密,002475,67.5,70.3,66.29,69.52,67.08,2141885,14678541090.85,2.95,3.64
2026-05-06,立讯精密,002475,68.27,71.0,66.87,67.08,67.0,2130544,14608440724.32,2.93,0.12
2026-04-30,立讯精密,002475,69.48,69.48,66.8,67.0,68.64,1550475,10467151555.82,2.13,-2.39
2026-04-29,立讯精密,002475,68.0,69.77,66.5,68.64,69.88,2103918,14341701763.35,2.89,-1.77
2026-04-28,立讯精密,002475,71.02,72.4,68.95,69.88,71.97,2159908,15245939861.64,2.97,-2.9
2026-04-27,立讯精密,002475,67.98,72.6,67.5,71.97,66.0,3273500,23372375963.97,4.5,9.05
2026-04-24,立讯精密,002475,67.51,67.8,64.37,66.0,67.77,2622791,17251346198.78,3.61,-2.61
2026-04-23,立讯精密,002475,69.0,70.68,67.3,67.77,68.03,2322371,15938711238.57,3.19,-0.38
2026-04-22,立讯精密,002475,65.39,68.69,64.6,68.03,65.75,2366656,15963581222.05,3.26,3.47
2026-04-21,立讯精密,002475,64.86,66.0,62.9,65.75,65.73,2625733,16943576025.43,3.61,0.03
2026-04-20,立讯精密,002475,62.64,65.73,60.91,65.73,59.75,3929269,25188235806.75,5.41,10.01
2026-04-17,立讯精密,002475,59.85,60.88,59.25,59.75,60.45,1343424,8048223622.84,1.85,-1.16
2026-04-16,立讯精密,002475,58.76,60.65,58.0,60.45,58.78,1996422,11903948271.64,2.75,2.84
2026-04-15,立讯精密,002475,59.0,60.98,58.45,58.78,59.14,1980038,11789558134.96,2.72,-0.61
2026-04-14,立讯精密,002475,59.0,60.65,58.55,59.14,58.6,2432745,14486703394.41,3.35,0.92
2026-04-13,立讯精密,002475,57.78,59.52,57.5,58.6,58.18,2388132,13958472897.32,3.29,0.72
2026-04-10,立讯精密,002475,55.42,59.18,54.9,58.18,55.09,3868969,22240373572.75,5.32,5.61
2026-04-09,立讯精密,002475,51.5,55.78,51.3,55.09,52.27,2996031,16300584856.34,4.12,5.4
2026-04-08,立讯精密,002475,49.56,52.57,49.56,52.27,48.39,2019287,10341801422.42,2.78,8.02
2026-04-07,立讯精密,002475,49.0,49.95,48.11,48.39,48.8,799878,3915337448.61,1.1,-0.84
2026-04-03,立讯精密,002475,50.3,50.38,48.64,48.8,49.89,745145,3668426746.51,1.03,-2.18
2026-04-02,立讯精密,002475,50.1,50.9,49.57,49.89,50.4,859659,4306449474.23,1.18,-1.01
2026-04-01,立讯精密,002475,50.48,51.11,49.8,50.4,49.26,1109777,5578244766.45,1.53,2.31
2026-03-31,立讯精密,002475,48.4,50.62,48.0,49.26,48.76,1671505,8302284089.63,2.3,1.03
2026-03-30,立讯精密,002475,49.8,50.0,48.1,48.76,50.61,1596406,7806460835.04,2.2,-3.66
2026-03-27,立讯精密,002475,48.18,51.29,48.18,50.61,50.19,1749811,8737181237.92,2.41,0.84
2026-03-26,立讯精密,002475,51.71,51.71,49.96,50.19,50.97,2200194,11164299112.99,3.03,-1.53
2026-03-25,立讯精密,002475,47.38,50.97,47.0,50.97,46.34,2608861,13043880636.87,3.59,9.99
2026-03-24,立讯精密,002475,46.8,46.94,44.57,46.34,46.3,1105607,5039460248.03,1.52,0.09
2026-03-23,立讯精密,002475,47.53,47.75,45.95,46.3,48.22,1017446,4757499916.6,1.4,-3.98
2026-03-20,立讯精密,002475,48.39,49.7,48.22,48.22,48.04,1004845,4918969446.47,1.38,0.37
2026-03-19,立讯精密,002475,48.38,48.8,47.85,48.04,49.34,918059,4422841913.89,1.26,-2.63
2026-03-18,立讯精密,002475,49.66,49.89,48.9,49.34,49.83,861205,4245300751.81,1.18,-0.98
2026-03-17,立讯精密,002475,50.18,51.76,49.76,49.83,49.26,1850095,9421830948.68,2.55,1.16
2026-03-16,立讯精密,002475,49.01,49.27,47.51,49.26,49.33,965272,4675886931.16,1.33,-0.14
2026-03-13,立讯精密,002475,49.35,50.28,49.05,49.33,49.7,819833,4071284135.66,1.13,-0.74
2026-03-12,立讯精密,002475,49.9,50.43,49.28,49.7,50.17,860416,4282954479.72,1.18,-0.94
2026-03-11,立讯精密,002475,49.45,50.88,49.28,50.17,49.39,1686484,8476553856.34,2.32,1.58
2026-03-10,立讯精密,002475,47.2,49.7,47.2,49.39,46.5,1814094,8875107862.07,2.5,6.22
2026-03-09,立讯精密,002475,46.27,46.62,45.43,46.5,47.3,973749,4484441009.82,1.34,-1.69
2026-03-06,立讯精密,002475,46.59,47.42,46.47,47.3,47.0,732496,3447363240.97,1.01,0.64
2026-03-05,立讯精密,002475,47.0,47.76,46.88,47.0,46.28,1008733,4765363060.18,1.39,1.56
2026-03-04,立讯精密,002475,46.67,47.09,45.8,46.28,47.39,1198906,5557272421.46,1.65,-2.34
2026-03-03,立讯精密,002475,49.16,49.74,47.2,47.39,49.11,1360265,6548505877.7,1.87,-3.5
