日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,美的集团,000333,80.39,81.8,80.39,81.62,80.38,95660,776540410.5,0.14,1.54
2026-05-13,美的集团,000333,79.96,80.95,79.63,80.38,80.09,328497,2636662836.83,0.48,0.36
2026-05-12,美的集团,000333,80.66,81.17,79.73,80.09,80.67,357756,2875768678.51,0.52,-0.72
2026-05-11,美的集团,000333,80.14,82.45,79.58,80.67,80.4,436444,3540579382.26,0.64,0.34
2026-05-08,美的集团,000333,79.65,81.09,79.32,80.4,79.81,282423,2273797150.16,0.41,0.74
2026-05-07,美的集团,000333,80.0,80.98,79.77,79.81,80.44,372176,2988466108.94,0.54,-0.78
2026-05-06,美的集团,000333,79.7,80.88,79.15,80.44,81.1,360419,2885237850.33,0.53,-0.81
2026-04-30,美的集团,000333,81.0,82.15,80.61,81.1,81.31,354433,2889837730.04,0.52,-0.26
2026-04-29,美的集团,000333,80.55,81.94,80.45,81.31,80.45,331108,2684108095.61,0.48,1.07
2026-04-28,美的集团,000333,79.45,80.8,79.18,80.45,79.5,304729,2450034708.23,0.44,1.19
2026-04-27,美的集团,000333,79.24,80.15,79.01,79.5,79.66,258512,2060818397.14,0.38,-0.2
2026-04-24,美的集团,000333,79.56,80.2,79.46,79.66,79.85,217880,1740580503.26,0.32,-0.24
2026-04-23,美的集团,000333,79.29,80.15,78.73,79.85,79.3,299432,2388456633.05,0.44,0.69
2026-04-22,美的集团,000333,79.5,79.63,78.87,79.3,79.5,202782,1606990584.79,0.3,-0.25
2026-04-21,美的集团,000333,79.75,80.08,79.2,79.5,79.58,238793,1903225381.94,0.35,-0.1
2026-04-20,美的集团,000333,78.4,79.9,78.05,79.58,78.65,276700,2201771534.36,0.4,1.18
2026-04-17,美的集团,000333,78.18,79.25,77.84,78.65,77.9,277352,2181684922.93,0.4,0.96
2026-04-16,美的集团,000333,77.77,78.44,77.4,77.9,77.49,238078,1853913747.87,0.35,0.53
2026-04-15,美的集团,000333,76.55,77.88,76.2,77.49,76.55,318451,2461286852.72,0.46,1.23
2026-04-14,美的集团,000333,76.06,76.55,75.5,76.55,75.78,195782,1489302845.09,0.29,1.02
2026-04-13,美的集团,000333,76.03,76.47,75.58,75.78,76.41,182375,1384781817.96,0.27,-0.82
2026-04-10,美的集团,000333,76.52,76.74,76.06,76.41,76.52,258373,1971065631.96,0.38,-0.14
2026-04-09,美的集团,000333,76.4,77.02,75.9,76.52,76.73,235024,1796387350.5,0.34,-0.27
2026-04-08,美的集团,000333,76.95,77.25,76.35,76.73,76.12,286804,2200099878.86,0.42,0.8
2026-04-07,美的集团,000333,76.35,76.7,75.62,76.12,76.35,163826,1246113299.91,0.24,-0.3
2026-04-03,美的集团,000333,77.3,77.35,76.2,76.35,77.37,172773,1325461933.44,0.25,-1.32
2026-04-02,美的集团,000333,76.85,77.84,76.58,77.37,76.84,326318,2523387317.67,0.48,0.69
2026-04-01,美的集团,000333,76.5,77.4,76.34,76.84,76.35,273616,2100652577.87,0.4,0.64
2026-03-31,美的集团,000333,75.05,77.32,74.31,76.35,72.1,694915,5310077351.85,1.01,5.89
2026-03-30,美的集团,000333,73.35,74.0,71.77,72.1,74.78,456227,3304801589.87,0.67,-3.58
2026-03-27,美的集团,000333,72.9,74.95,72.8,74.78,74.32,319125,2367294086.52,0.47,0.62
2026-03-26,美的集团,000333,74.89,75.54,74.18,74.32,74.8,177085,1325335068.75,0.26,-0.64
2026-03-25,美的集团,000333,74.5,74.97,73.95,74.8,74.23,184964,1376467587.71,0.27,0.77
2026-03-24,美的集团,000333,73.73,74.42,72.8,74.23,73.37,267147,1968463614.88,0.39,1.17
2026-03-23,美的集团,000333,73.95,73.97,72.35,73.37,75.12,462008,3377621417.85,0.67,-2.33
2026-03-20,美的集团,000333,75.92,76.15,75.12,75.12,76.0,219126,1657477564.34,0.32,-1.16
2026-03-19,美的集团,000333,76.43,76.98,75.93,76.0,77.06,232729,1777663109.8,0.34,-1.38
2026-03-18,美的集团,000333,76.74,77.3,76.3,77.06,76.6,200716,1544837047.7,0.29,0.6
2026-03-17,美的集团,000333,76.98,77.6,76.6,76.6,76.64,214075,1649202285.18,0.31,-0.05
2026-03-16,美的集团,000333,76.52,76.88,75.68,76.64,76.86,205600,1570261576.61,0.3,-0.29
2026-03-13,美的集团,000333,76.95,77.46,76.65,76.86,77.4,187293,1443018565.54,0.27,-0.7
2026-03-12,美的集团,000333,77.3,77.75,76.93,77.4,77.39,193305,1493891519.44,0.28,0.01
2026-03-11,美的集团,000333,76.6,77.72,76.1,77.39,76.6,251358,1941618421.16,0.37,1.03
2026-03-10,美的集团,000333,75.75,76.84,75.75,76.6,75.41,209086,1598535439.8,0.31,1.58
2026-03-09,美的集团,000333,75.73,76.1,75.02,75.41,76.52,259478,1958550800.94,0.38,-1.45
2026-03-06,美的集团,000333,76.22,76.72,75.76,76.52,76.27,206629,1576695274.06,0.3,0.33
2026-03-05,美的集团,000333,76.6,76.99,76.12,76.27,76.16,196872,1505981137.06,0.29,0.14
2026-03-04,美的集团,000333,76.0,76.52,75.37,76.16,76.56,284934,2165428070.74,0.42,-0.52
2026-03-03,美的集团,000333,77.46,77.64,76.5,76.56,77.45,288000,2219134173.14,0.42,-1.15
2026-03-02,美的集团,000333,78.0,78.06,76.7,77.45,78.64,274786,2126756400.72,0.4,-1.51
2026-02-27,美的集团,000333,79.03,79.5,78.5,78.64,79.25,201604,1590463839.3,0.29,-0.77
2026-02-26,美的集团,000333,80.15,80.2,78.75,79.25,79.7,253271,2011764283.84,0.37,-0.56
2026-02-25,美的集团,000333,80.28,80.77,79.29,79.7,79.52,285524,2280423704.02,0.42,0.23
2026-02-24,美的集团,000333,80.2,80.6,79.52,79.52,79.05,252514,2020103221.13,0.37,0.59
2026-02-13,美的集团,000333,79.51,80.0,78.91,79.05,79.8,255102,2024367757.89,0.37,-0.94
2026-02-12,美的集团,000333,79.46,80.06,79.3,79.8,79.69,188784,1505278310.61,0.28,0.14
2026-02-11,美的集团,000333,80.0,80.21,79.6,79.69,80.19,198066,1581382077.16,0.29,-0.62
2026-02-10,美的集团,000333,79.21,80.28,78.88,80.19,79.16,306184,2442130413.45,0.45,1.3
2026-02-09,美的集团,000333,79.18,79.34,78.41,79.16,79.54,334670,2637206616.13,0.49,-0.48
2026-02-06,美的集团,000333,80.43,80.8,79.4,79.54,80.45,312566,2494058798.96,0.46,-1.13
2026-02-05,美的集团,000333,79.83,81.16,79.63,80.45,79.81,429198,3456314702.72,0.63,0.8
2026-02-04,美的集团,000333,78.1,79.88,78.01,79.81,77.91,389103,3080223022.78,0.57,2.44
2026-02-03,美的集团,000333,77.8,78.89,77.43,77.91,77.85,345037,2691523349.88,0.5,0.08
2026-02-02,美的集团,000333,77.6,78.48,77.0,77.85,77.59,345916,2696447814.44,0.51,0.34
2026-01-30,美的集团,000333,77.6,79.0,77.4,77.59,77.88,532508,4168550768.06,0.78,-0.37
2026-01-29,美的集团,000333,75.7,78.08,75.47,77.88,75.34,622441,4784027397.59,0.91,3.37
2026-01-28,美的集团,000333,76.09,76.36,75.0,75.34,76.1,628937,4759175491.81,0.92,-1.0
2026-01-27,美的集团,000333,76.4,77.1,75.92,76.1,76.35,325807,2493849776.65,0.48,-0.33
2026-01-26,美的集团,000333,76.8,77.87,76.02,76.35,76.78,473132,3631661682.12,0.69,-0.56
2026-01-23,美的集团,000333,77.57,77.79,76.71,76.78,77.49,373707,2879013288.11,0.55,-0.92
2026-01-22,美的集团,000333,78.25,78.26,77.37,77.49,77.78,344041,2673285096.07,0.5,-0.37
2026-01-21,美的集团,000333,78.96,78.96,77.55,77.78,79.0,368086,2881638097.79,0.54,-1.54
2026-01-20,美的集团,000333,77.66,79.37,77.2,79.0,77.62,455358,3580248040.95,0.66,1.78
2026-01-19,美的集团,000333,77.37,78.14,77.05,77.62,77.31,336374,2609235772.07,0.49,0.4
2026-01-16,美的集团,000333,77.25,77.85,77.15,77.31,77.22,371869,2882035810.58,0.54,0.12
2026-01-15,美的集团,000333,77.46,78.05,76.89,77.22,77.15,360314,2794124458.2,0.53,0.09
2026-01-14,美的集团,000333,76.2,77.63,75.91,77.15,76.2,539684,4151813691.05,0.79,1.25
2026-01-13,美的集团,000333,77.9,78.0,76.1,76.2,78.62,945712,7277543658.27,1.38,-3.08
2026-01-12,美的集团,000333,79.78,79.79,77.81,78.62,79.77,525014,4117420886.96,0.77,-1.44
2026-01-09,美的集团,000333,79.6,79.95,79.3,79.77,79.03,341081,2719435078.26,0.5,0.94
2026-01-08,美的集团,000333,79.37,79.48,78.31,79.03,79.37,312537,2464225428.8,0.46,-0.43
2026-01-07,美的集团,000333,78.99,79.58,78.06,79.37,78.84,401968,3173707530.52,0.59,0.67
2026-01-06,美的集团,000333,78.58,79.49,77.39,78.84,78.68,454525,3572813822.29,0.66,0.2
2026-01-05,美的集团,000333,80.04,80.5,78.25,78.68,78.15,442947,3501427582.29,0.65,0.68
2025-12-31,美的集团,000333,78.87,80.28,77.85,78.15,78.85,287758,2256598465.55,0.42,-0.89
