日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,贵州茅台,600519,1338.0,1369.06,1335.18,1342.17,1344.09,55244,7428592859.0,0.44,-0.14
2026-05-13,贵州茅台,600519,1354.5,1358.6,1338.0,1344.09,1354.55,56968,7653257144.0,0.45,-0.77
2026-05-12,贵州茅台,600519,1362.0,1363.58,1350.5,1354.55,1361.33,50837,6886304982.0,0.41,-0.5
2026-05-11,贵州茅台,600519,1372.89,1372.89,1361.0,1361.33,1372.99,57135,7790721392.0,0.46,-0.85
2026-05-08,贵州茅台,600519,1371.66,1382.77,1370.0,1372.99,1371.05,33369,4582855939.0,0.27,0.14
2026-05-07,贵州茅台,600519,1375.0,1388.0,1370.01,1371.05,1375.0,40461,5573286315.0,0.32,-0.29
2026-05-06,贵州茅台,600519,1365.1,1379.0,1360.05,1375.0,1384.79,47806,6550750940.0,0.38,-0.71
2026-04-30,贵州茅台,600519,1400.0,1401.17,1380.0,1384.79,1401.17,52753,7316111748.0,0.42,-1.17
2026-04-29,贵州茅台,600519,1405.0,1409.75,1400.28,1401.17,1405.0,34813,4881691348.0,0.28,-0.27
2026-04-28,贵州茅台,600519,1402.0,1409.39,1400.11,1405.0,1403.2,34004,4772513712.0,0.27,0.13
2026-04-27,贵州茅台,600519,1420.0,1420.0,1402.2,1403.2,1458.49,72798,10239763452.0,0.58,-3.79
2026-04-24,贵州茅台,600519,1413.1,1458.88,1413.1,1458.49,1419.0,55455,8003410999.0,0.44,2.78
2026-04-23,贵州茅台,600519,1408.0,1419.7,1405.1,1419.0,1409.5,37701,5332831151.0,0.3,0.67
2026-04-22,贵州茅台,600519,1415.0,1419.0,1404.98,1409.5,1412.01,26916,3793827534.0,0.21,-0.18
2026-04-21,贵州茅台,600519,1411.0,1419.9,1410.0,1412.01,1410.89,21754,3074595192.0,0.17,0.08
2026-04-20,贵州茅台,600519,1403.0,1413.94,1400.0,1410.89,1407.24,36451,5127146041.0,0.29,0.26
2026-04-17,贵州茅台,600519,1400.0,1421.0,1399.87,1407.24,1462.84,96825,13631929446.0,0.77,-3.8
2026-04-16,贵州茅台,600519,1467.45,1477.41,1460.0,1462.84,1467.5,24513,3597294838.0,0.2,-0.32
2026-04-15,贵州茅台,600519,1444.98,1470.79,1442.0,1467.5,1446.9,34553,5049317187.0,0.28,1.42
2026-04-14,贵州茅台,600519,1442.6,1448.6,1435.0,1446.9,1443.31,24233,3492544230.0,0.19,0.25
2026-04-13,贵州茅台,600519,1444.0,1446.5,1433.0,1443.31,1453.96,25214,3629675490.0,0.2,-0.73
2026-04-10,贵州茅台,600519,1459.14,1459.71,1441.1,1453.96,1460.49,28866,4187181529.0,0.23,-0.45
2026-04-09,贵州茅台,600519,1465.02,1465.02,1447.5,1460.49,1465.02,20705,3012278579.0,0.17,-0.31
2026-04-08,贵州茅台,600519,1460.0,1469.08,1452.13,1465.02,1440.02,33836,4947937007.0,0.27,1.74
2026-04-07,贵州茅台,600519,1460.05,1470.0,1435.05,1440.02,1460.0,24152,3507471653.0,0.19,-1.37
2026-04-03,贵州茅台,600519,1459.54,1469.96,1455.0,1460.0,1459.88,20194,2953993081.0,0.16,0.01
2026-04-02,贵州茅台,600519,1459.44,1464.88,1452.1,1459.88,1459.44,21064,3071809846.0,0.17,0.03
2026-04-01,贵州茅台,600519,1464.49,1469.99,1452.88,1459.44,1450.0,29125,4256185472.0,0.23,0.65
2026-03-31,贵州茅台,600519,1468.0,1479.93,1448.41,1450.0,1420.0,61691,9015486797.0,0.49,2.11
2026-03-30,贵州茅台,600519,1407.0,1431.0,1402.52,1420.0,1416.02,28685,4060684934.0,0.23,0.28
2026-03-27,贵州茅台,600519,1400.0,1426.0,1396.66,1416.02,1401.18,30087,4257499781.0,0.24,1.06
2026-03-26,贵州茅台,600519,1409.0,1413.9,1400.3,1401.18,1410.27,23093,3243387502.0,0.18,-0.64
2026-03-25,贵州茅台,600519,1410.11,1417.87,1401.01,1410.27,1407.33,26093,3677905549.0,0.21,0.21
2026-03-24,贵州茅台,600519,1416.0,1417.59,1400.18,1407.33,1408.07,28562,4017694387.0,0.23,-0.05
2026-03-23,贵州茅台,600519,1433.33,1435.0,1400.03,1408.07,1445.0,47256,6669708665.0,0.38,-2.56
2026-03-20,贵州茅台,600519,1452.96,1462.5,1439.0,1445.0,1452.87,26132,3782818260.0,0.21,-0.54
2026-03-19,贵州茅台,600519,1472.96,1473.0,1446.0,1452.87,1468.8,30319,4404953481.0,0.24,-1.08
2026-03-18,贵州茅台,600519,1489.0,1496.5,1463.15,1468.8,1485.0,35551,5239992522.0,0.28,-1.09
2026-03-17,贵州茅台,600519,1468.0,1498.07,1461.19,1485.0,1460.18,49454,7347310632.0,0.39,1.7
2026-03-16,贵州茅台,600519,1420.0,1466.0,1420.0,1460.18,1413.64,60086,8711525836.0,0.48,3.29
2026-03-13,贵州茅台,600519,1392.48,1417.62,1392.0,1413.64,1392.0,33608,4738808558.0,0.27,1.55
2026-03-12,贵州茅台,600519,1395.0,1403.95,1391.01,1392.0,1400.0,27586,3850521717.0,0.22,-0.57
2026-03-11,贵州茅台,600519,1402.99,1405.99,1398.02,1400.0,1401.88,24457,3425363892.0,0.2,-0.13
2026-03-10,贵州茅台,600519,1404.9,1409.49,1398.0,1401.88,1397.0,24626,3457808916.0,0.2,0.35
2026-03-09,贵州茅台,600519,1390.0,1404.9,1383.2,1397.0,1402.0,37442,5220095639.0,0.3,-0.36
2026-03-06,贵州茅台,600519,1395.0,1407.5,1388.0,1402.0,1399.04,29154,4072328833.0,0.23,0.21
2026-03-05,贵州茅台,600519,1406.0,1412.96,1395.0,1399.04,1401.18,30505,4276226062.0,0.24,-0.15
2026-03-04,贵州茅台,600519,1415.0,1423.0,1392.09,1401.18,1426.19,48014,6743267103.0,0.38,-1.75
2026-03-03,贵州茅台,600519,1440.1,1452.87,1422.13,1426.19,1440.11,45891,6565381648.0,0.37,-0.97
2026-03-02,贵州茅台,600519,1450.0,1457.0,1436.66,1440.11,1455.02,35454,5115063511.0,0.28,-1.02
2026-02-27,贵州茅台,600519,1466.99,1476.21,1455.02,1455.02,1466.21,32160,4697692477.0,0.26,-0.76
2026-02-26,贵州茅台,600519,1486.6,1489.49,1464.67,1466.21,1491.66,32958,4855471430.0,0.26,-1.71
2026-02-25,贵州茅台,600519,1470.0,1509.66,1467.88,1491.66,1466.8,36881,5490316149.0,0.29,1.69
2026-02-24,贵州茅台,600519,1521.0,1524.4,1463.6,1466.8,1485.3,41913,6198840572.0,0.33,-1.25
2026-02-13,贵州茅台,600519,1486.6,1507.8,1470.58,1485.3,1486.6,41679,6216379203.0,0.33,-0.09
2026-02-12,贵州茅台,600519,1500.2,1502.82,1473.36,1486.6,1504.33,46246,6874370113.0,0.37,-1.18
2026-02-11,贵州茅台,600519,1504.8,1514.0,1496.0,1504.33,1504.8,30928,4648360030.0,0.25,-0.03
2026-02-10,贵州茅台,600519,1524.97,1524.97,1496.5,1504.8,1524.96,39576,5953269321.0,0.32,-1.32
2026-02-09,贵州茅台,600519,1518.0,1542.88,1513.49,1524.96,1515.01,51168,7809067705.0,0.41,0.66
2026-02-06,贵州茅台,600519,1555.0,1568.0,1505.88,1515.01,1555.0,78965,12019878669.0,0.63,-2.57
2026-02-05,贵州茅台,600519,1520.0,1565.0,1515.0,1555.0,1525.0,91623,14183456476.0,0.73,1.97
2026-02-04,贵州茅台,600519,1485.0,1533.27,1474.0,1525.0,1474.92,109123,16444345980.0,0.87,3.4
2026-02-03,贵州茅台,600519,1445.0,1476.81,1443.03,1474.92,1427.0,86321,12628439703.0,0.69,3.36
2026-02-02,贵州茅台,600519,1425.0,1458.58,1411.62,1427.0,1401.0,85724,12312646443.0,0.68,1.86
2026-01-30,贵州茅台,600519,1435.0,1435.0,1401.0,1401.0,1437.72,94480,13366329414.0,0.75,-2.55
2026-01-29,贵州茅台,600519,1335.0,1445.0,1329.06,1437.72,1323.69,189534,26305591086.0,1.51,8.61
2026-01-28,贵州茅台,600519,1343.04,1346.71,1322.01,1323.69,1343.01,76218,10135019524.0,0.61,-1.44
2026-01-27,贵州茅台,600519,1344.98,1353.7,1338.0,1343.01,1342.0,48416,6514513216.0,0.39,0.08
2026-01-26,贵州茅台,600519,1340.51,1355.0,1325.12,1342.0,1337.0,80166,10751225525.0,0.64,0.37
2026-01-23,贵州茅台,600519,1340.1,1348.0,1332.47,1337.0,1340.06,61949,8301311489.0,0.49,-0.23
2026-01-22,贵州茅台,600519,1352.01,1361.76,1337.48,1340.06,1351.06,59011,7962441434.0,0.47,-0.81
2026-01-21,贵州茅台,600519,1373.56,1374.4,1350.0,1351.06,1373.55,64516,8775880803.0,0.52,-1.64
2026-01-20,贵州茅台,600519,1379.5,1381.58,1372.05,1373.55,1376.0,36484,5021900765.0,0.29,-0.18
2026-01-19,贵州茅台,600519,1381.9,1387.49,1375.0,1376.0,1382.0,42286,5833745442.0,0.34,-0.43
