日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,迈瑞医疗,300760,165.1,166.49,163.94,163.96,165.94,18044,297870917.88,0.15,-1.19
2026-05-13,迈瑞医疗,300760,166.3,167.25,164.22,165.94,166.39,71098,1175652869.0,0.59,-0.27
2026-05-12,迈瑞医疗,300760,168.68,169.84,166.26,166.39,169.21,81037,1357088446.0,0.67,-1.67
2026-05-11,迈瑞医疗,300760,170.0,170.9,167.03,169.21,170.61,122537,2063686520.0,1.01,-0.82
2026-05-08,迈瑞医疗,300760,170.4,172.67,170.32,170.61,170.5,71134,1220721296.0,0.59,0.06
2026-05-07,迈瑞医疗,300760,173.19,176.56,170.25,170.5,172.68,103423,1777293308.0,0.85,-1.26
2026-05-06,迈瑞医疗,300760,168.39,173.3,168.0,172.68,168.4,127733,2198045329.0,1.05,2.54
2026-04-30,迈瑞医疗,300760,167.5,169.88,166.81,168.4,168.4,97616,1643218327.0,0.81,0.0
2026-04-29,迈瑞医疗,300760,162.3,169.01,162.11,168.4,161.11,195908,3272550512.0,1.62,4.52
2026-04-28,迈瑞医疗,300760,157.77,162.9,157.6,161.11,158.01,126775,2035785399.0,1.05,1.96
2026-04-27,迈瑞医疗,300760,160.3,160.92,157.81,158.01,161.0,80514,1280012693.0,0.66,-1.86
2026-04-24,迈瑞医疗,300760,160.25,162.76,158.63,161.0,161.04,92238,1485053892.0,0.76,-0.02
2026-04-23,迈瑞医疗,300760,159.49,162.46,159.0,161.04,159.6,102520,1652382265.0,0.85,0.9
2026-04-22,迈瑞医疗,300760,157.01,160.99,157.01,159.6,158.85,70472,1119470513.0,0.58,0.47
2026-04-21,迈瑞医疗,300760,158.13,161.81,158.0,158.85,158.1,79928,1273422195.0,0.66,0.47
2026-04-20,迈瑞医疗,300760,156.5,159.77,154.6,158.1,156.75,91233,1433529677.0,0.75,0.86
2026-04-17,迈瑞医疗,300760,159.92,159.92,156.71,156.75,160.46,89171,1404800005.0,0.74,-2.31
2026-04-16,迈瑞医疗,300760,160.32,160.86,159.46,160.46,160.3,54493,872440529.0,0.45,0.1
