日期,股票名称,代码,开盘,最高,最低,收盘,前收盘,成交量,成交额,换手率,涨跌幅
2026-05-14,隆基绿能,601012,16.79,17.04,16.3,16.3,16.78,2094691,3490763287.0,2.76,-2.86
2026-05-13,隆基绿能,601012,16.51,16.82,16.45,16.78,16.7,1433680,2393881568.0,1.89,0.48
2026-05-12,隆基绿能,601012,16.65,16.91,16.38,16.7,16.61,1973452,3281304288.0,2.6,0.54
2026-05-11,隆基绿能,601012,16.35,16.75,16.33,16.61,16.36,1809608,3002893118.0,2.39,1.53
2026-05-08,隆基绿能,601012,16.54,16.55,16.22,16.36,16.55,1602816,2621482231.0,2.12,-1.15
2026-05-07,隆基绿能,601012,16.54,16.82,16.51,16.55,16.55,1475967,2453039029.0,1.95,0.0
2026-05-06,隆基绿能,601012,16.53,16.65,16.39,16.55,16.46,1459022,2408376086.0,1.93,0.55
2026-04-30,隆基绿能,601012,16.37,16.68,16.37,16.46,16.55,1315054,2167954847.0,1.74,-0.54
2026-04-29,隆基绿能,601012,16.28,16.59,15.82,16.55,16.95,2455954,3992226560.0,3.24,-2.36
2026-04-28,隆基绿能,601012,17.03,17.21,16.89,16.95,17.14,977873,1664112757.0,1.29,-1.11
2026-04-27,隆基绿能,601012,17.3,17.43,17.12,17.14,17.39,1090042,1875866995.0,1.44,-1.44
2026-04-24,隆基绿能,601012,17.51,17.56,17.26,17.39,17.53,975037,1695872844.0,1.29,-0.8
2026-04-23,隆基绿能,601012,17.69,17.79,17.37,17.53,17.55,1255806,2208322354.0,1.66,-0.11
2026-04-22,隆基绿能,601012,17.5,17.66,17.4,17.55,17.59,788201,1382718187.0,1.04,-0.23
2026-04-21,隆基绿能,601012,17.65,17.79,17.48,17.59,17.65,905297,1593667052.0,1.19,-0.34
2026-04-20,隆基绿能,601012,17.44,17.8,17.35,17.65,17.44,1351470,2376243054.0,1.78,1.2
2026-04-17,隆基绿能,601012,17.45,17.52,17.23,17.44,17.51,1073344,1866684287.0,1.42,-0.4
2026-04-16,隆基绿能,601012,17.45,17.54,17.35,17.51,17.38,907077,1584881031.0,1.2,0.75
2026-04-15,隆基绿能,601012,17.59,17.66,17.36,17.38,17.55,989936,1732878734.0,1.31,-0.97
2026-04-14,隆基绿能,601012,17.59,17.63,17.35,17.55,17.68,1316761,2303441650.0,1.74,-0.74
2026-04-13,隆基绿能,601012,17.0,18.02,16.95,17.68,17.12,2163953,3790707315.0,2.86,3.27
2026-04-10,隆基绿能,601012,17.06,17.27,16.96,17.12,16.92,1170602,2007435124.0,1.54,1.18
2026-04-09,隆基绿能,601012,17.06,17.22,16.87,16.92,17.32,1119971,1901557997.0,1.48,-2.31
2026-04-08,隆基绿能,601012,16.92,17.42,16.83,17.32,16.7,1659255,2846702533.0,2.19,3.71
2026-04-07,隆基绿能,601012,16.66,16.74,16.39,16.7,16.66,1120803,1858517890.0,1.48,0.24
2026-04-03,隆基绿能,601012,17.3,17.35,16.61,16.66,17.36,1811129,3057167201.0,2.39,-4.03
2026-04-02,隆基绿能,601012,17.8,17.8,17.31,17.36,17.89,1348218,2361042861.0,1.78,-2.96
2026-04-01,隆基绿能,601012,17.72,18.03,17.54,17.89,17.54,1349022,2398083291.0,1.78,2.0
2026-03-31,隆基绿能,601012,17.9,18.02,17.53,17.54,17.96,1600191,2842679053.0,2.11,-2.34
2026-03-30,隆基绿能,601012,18.4,18.57,17.8,17.96,18.52,2173172,3916247299.0,2.87,-3.02
2026-03-27,隆基绿能,601012,18.1,18.74,18.08,18.52,18.37,2075887,3819551092.0,2.74,0.82
2026-03-26,隆基绿能,601012,18.89,19.06,18.31,18.37,18.89,2458952,4577231092.0,3.24,-2.75
2026-03-25,隆基绿能,601012,18.81,19.18,18.73,18.89,19.04,2632037,4980370423.0,3.47,-0.79
2026-03-24,隆基绿能,601012,18.94,19.2,17.77,19.04,18.81,3900516,7216531581.0,5.15,1.22
2026-03-23,隆基绿能,601012,19.05,19.4,18.69,18.81,18.99,4026907,7694518391.0,5.31,-0.95
2026-03-20,隆基绿能,601012,18.5,19.6,18.42,18.99,18.52,4469588,8522747284.0,5.9,2.54
2026-03-19,隆基绿能,601012,18.35,18.79,18.31,18.52,18.54,1718597,3195484336.0,2.27,-0.11
2026-03-18,隆基绿能,601012,18.76,18.97,18.29,18.54,18.79,1835009,3402104019.0,2.42,-1.33
2026-03-17,隆基绿能,601012,18.77,19.43,18.76,18.79,18.68,2710532,5173834238.0,3.58,0.59
2026-03-16,隆基绿能,601012,18.95,19.19,18.61,18.68,18.87,2013163,3784642047.0,2.66,-1.01
2026-03-13,隆基绿能,601012,18.92,19.47,18.78,18.87,18.94,3419483,6538240298.0,4.51,-0.37
2026-03-12,隆基绿能,601012,18.74,19.07,18.46,18.94,18.79,2500821,4690086895.0,3.3,0.8
2026-03-11,隆基绿能,601012,18.55,18.95,18.39,18.79,18.56,2311936,4333875458.0,3.05,1.24
2026-03-10,隆基绿能,601012,18.25,18.62,18.1,18.56,18.39,1828340,3357305878.0,2.41,0.92
2026-03-09,隆基绿能,601012,18.01,18.49,17.92,18.39,18.0,2062755,3764605465.0,2.72,2.17
2026-03-06,隆基绿能,601012,17.76,18.08,17.58,18.0,17.76,1203234,2154129920.0,1.59,1.35
